000001 CLNT S0 built
004730 TIMR S0 term 0 Follower ticking, cmtIdx 0
004730 TIMR S2 term 0 Follower ticking, cmtIdx 0
004789 TIMR S1 term 0 Follower ticking, cmtIdx 0
004790 TIMR S2 term 0 Follower ticking, cmtIdx 0
004790 TIMR S0 term 0 Follower ticking, cmtIdx 0
004848 TIMR S1 term 0 Follower ticking, cmtIdx 0
004849 TIMR S0 term 0 Follower ticking, cmtIdx 0
004849 TIMR S2 term 0 Follower ticking, cmtIdx 0
004918 TIMR S1 term 0 Follower ticking, cmtIdx 0
004920 TIMR S2 term 0 Follower ticking, cmtIdx 0
004920 TIMR S0 term 0 Follower ticking, cmtIdx 0
004987 TIMR S1 term 0 Follower ticking, cmtIdx 0
004988 TIMR S0 term 0 Follower ticking, cmtIdx 0
004988 TIMR S2 term 0 Follower ticking, cmtIdx 0
005058 TIMR S1 term 0 Follower ticking, cmtIdx 0
005058 TIMR S2 term 0 Follower ticking, cmtIdx 0
005058 TIMR S0 term 0 Follower ticking, cmtIdx 0
005118 TIMR S0 term 0 Follower ticking, cmtIdx 0
005118 TIMR S1 term 0 Follower ticking, cmtIdx 0
005118 TIMR S2 term 0 Follower ticking, cmtIdx 0
005119 TIMR S2 reset time: lStart 0, lEnd 0
005120 PERS S2 persist curTerm 1, votedFor S2, log.start 0, log.lastIdx 0
005120 TERM S2 -> All RV term 1
005121 VOTE S2 -> S1 RV: term 1, LLT 0, LLI 0
005121 VOTE S2 -> S0 RV: term 1, LLT 0, LLI 0
005187 TIMR S1 term 0 Follower ticking, cmtIdx 0
005187 TIMR S0 term 0 Follower ticking, cmtIdx 0
005188 TIMR S2 term 1 Candidate ticking, cmtIdx 0
005189 TERM S0 <- S2 RV: term 1, LLT 0, LLI 0
005189 TERM S0 Follower term 0 -> Follower term 1, cause S2
005189 PERS S0 persist curTerm 1, votedFor S-1, log.start 0, log.lastIdx 0
005189 TERM S0 -> S2 vote
005190 PERS S0 persist curTerm 1, votedFor S2, log.start 0, log.lastIdx 0
005190 TIMR S0 reset time: lStart 0, lEnd 0
005191 VOTE S2 <- S0 RV #vote 2
005191 LEAD S2 win for Leader
005191 TIMR S2 reset time: lStart 0, lEnd 0
005191 LEAD S2 -> All AE term 1
005191 LEAD S2 -> S0 AE: nextIdx 1
005191 LEAD S2 -> S0 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 0: 
005191 LEAD S2 -> S1 AE: nextIdx 1
005191 LEAD S2 -> S1 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 0: 
005256 TIMR S2 term 1 Leader ticking, cmtIdx 0
005256 TIMR S1 term 0 Follower ticking, cmtIdx 0
005256 TIMR S0 term 1 Follower ticking, cmtIdx 0
005258 TERM S1 <- S2 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 0: 
005258 TERM S1 Follower term 0 -> Follower term 1, cause S0
005258 PERS S1 persist curTerm 1, votedFor S-1, log.start 0, log.lastIdx 0
005259 LOG1 S1 <- S2 consistency check: prevIdx 0, prevTerm 0, len(Entries) 0, leaderCmt 0, lastIdx 0, lastTerm 0
005259 LOG1 S1 <- S2 have all entries
005259 LOG1 S1 <- S2 match: cmtIdx 0 -> 0
005259 TIMR S1 reset time: lStart 0, lEnd 0
005276 DROP S2 -> S1 RV dropped: term 1, LLT 0, LLI 0
005276 TERM S0 <- S2 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 0: 
005276 LOG1 S0 <- S2 consistency check: prevIdx 0, prevTerm 0, len(Entries) 0, leaderCmt 0, lastIdx 0, lastTerm 0
005276 LOG1 S0 <- S2 have all entries
005276 LOG1 S0 <- S2 match: cmtIdx 0 -> 0
005276 TIMR S0 reset time: lStart 0, lEnd 0
005306 TIMR S1 term 1 Follower ticking, cmtIdx 0
005307 TIMR S2 term 1 Leader ticking, cmtIdx 0
005307 TIMR S0 term 1 Follower ticking, cmtIdx 0
005376 TIMR S2 term 1 Leader ticking, cmtIdx 0
005377 TIMR S1 term 1 Follower ticking, cmtIdx 0
005377 TIMR S0 term 1 Follower ticking, cmtIdx 0
005446 TIMR S1 term 1 Follower ticking, cmtIdx 0
005447 TIMR S2 term 1 Leader ticking, cmtIdx 0
